Champion,Rune1,Rune2,Rune3,Rune4,Rune5,Rune6,Rune7,Rune8,Rune9,Rune10,Pick Rate,Win Rate
Jax,Conqueror,Triumph,Legend: Alacrity,Coup de Grace,Demolish,Bone Plating,,Attack Speed,Adaptive Force,Armor,1.10%,0.5127
Jax,Conqueror,Triumph,Legend: Alacrity,Last Stand,Demolish,Bone Plating,,Attack Speed,Adaptive Force,Armor,0.67%,0.4869
Jax,Conqueror,Triumph,Legend: Alacrity,Coup de Grace,,Bone Plating,Overgrowth,Attack Speed,Adaptive Force,Armor,0.37%,0.5429
Jax,Conqueror,Triumph,Legend: Alacrity,Last Stand,,Bone Plating,Overgrowth,Attack Speed,Adaptive Force,Armor,0.21%,0.5833
Jax,Conqueror,Triumph,Legend: Tenacity,Last Stand,,Bone Plating,Overgrowth,Attack Speed,Adaptive Force,Armor,0.20%,0.4561
Jax,Conqueror,Triumph,Legend: Alacrity,Coup de Grace,Sudden Impact,,Ravenous Hunter,Attack Speed,Adaptive Force,Armor,0.23%,0.6000
Jax,Conqueror,Triumph,Legend: Alacrity,Coup de Grace,Taste of Blood,,Ravenous Hunter,Attack Speed,Adaptive Force,Armor,0.12%,0.4286
Jax,Conqueror,Triumph,Legend: Alacrity,Last Stand,Sudden Impact,,Ravenous Hunter,Attack Speed,Adaptive Force,Armor,0.11%,0.5333
Jax,Conqueror,Triumph,Legend: Tenacity,Coup de Grace,Sudden Impact,,Ravenous Hunter,Attack Speed,Adaptive Force,Armor,0.09%,0.5769
Jax,Conqueror,Triumph,Legend: Tenacity,Last Stand,Taste of Blood,,Ravenous Hunter,Attack Speed,Adaptive Force,Armor,0.08%,0.5217
Jax,Conqueror,Triumph,Legend: Tenacity,Last Stand,Nimbus Cloak,Transcendence,,Adaptive Force,Adaptive Force,Armor,0.09%,0.6400
Jax,Conqueror,Triumph,Legend: Tenacity,Coup de Grace,Nimbus Cloak,Transcendence,,Attack Speed,Adaptive Force,Armor,0.07%,0.4500
Jax,Conqueror,Triumph,Legend: Alacrity,Last Stand,Nimbus Cloak,Transcendence,,Adaptive Force,Adaptive Force,Armor,0.07%,0.5263
Jax,Conqueror,Triumph,Legend: Tenacity,Last Stand,Nimbus Cloak,Transcendence,,CDR,Adaptive Force,Armor,0.06%,0.5882
